attributes,geometry
"{'OBJECTID': 28, 'Province_State': 'Hainaut', 'Country_Region': 'Belgium', 'Last_Update': 1616502373000, 'Lat': 50.5257, 'Long_': 4.0621, 'Confirmed': 125521, 'Recovered': 0, 'Deaths': 0, 'Active': 125521, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Hainaut, Belgium'}","{'x': 4.062100000000044, 'y': 50.52570000000003}"
"{'OBJECTID': 29, 'Province_State': 'Liege', 'Country_Region': 'Belgium', 'Last_Update': 1616502373000, 'Lat': 50.4496, 'Long_': 5.8492, 'Confirmed': 109250, 'Recovered': 0, 'Deaths': 0, 'Active': 109250, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Liege, Belgium'}","{'x': 5.849200000000053, 'y': 50.44960000000003}"
"{'OBJECTID': 30, 'Province_State': 'Limburg', 'Country_Region': 'Belgium', 'Last_Update': 1616502373000, 'Lat': 50.9739, 'Long_': 5.342, 'Confirmed': 42448, 'Recovered': 0, 'Deaths': 0, 'Active': 42448, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Limburg, Belgium'}","{'x': 5.342000000000041, 'y': 50.97390000000007}"
"{'OBJECTID': 31, 'Province_State': 'Luxembourg', 'Country_Region': 'Belgium', 'Last_Update': 1616502373000, 'Lat': 50.0547, 'Long_': 5.4677, 'Confirmed': 23713, 'Recovered': 0, 'Deaths': 0, 'Active': 23713, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Luxembourg, Belgium'}","{'x': 5.467700000000036, 'y': 50.054700000000025}"
"{'OBJECTID': 32, 'Province_State': 'Namur', 'Country_Region': 'Belgium', 'Last_Update': 1616502373000, 'Lat': 50.331, 'Long_': 4.8221, 'Confirmed': 44958, 'Recovered': 0, 'Deaths': 0, 'Active': 44958, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Namur, Belgium'}","{'x': 4.8221000000000345, 'y': 50.331000000000074}"
"{'OBJECTID': 33, 'Province_State': 'Unknown', 'Country_Region': 'Belgium', 'Last_Update': 1616502373000, 'Lat': None, 'Long_': None, 'Confirmed': 15723, 'Recovered': 0, 'Deaths': 22728, 'Active': -7005, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Unknown, Belgium'}",
"{'OBJECTID': 34, 'Province_State': 'Walloon Brabant', 'Country_Region': 'Belgium', 'Last_Update': 1616502373000, 'Lat': 50.4, 'Long_': 4.35, 'Confirmed': 32389, 'Recovered': 0, 'Deaths': 0, 'Active': 32389, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Walloon Brabant, Belgium'}","{'x': 4.350000000000023, 'y': 50.400000000000034}"
"{'OBJECTID': 35, 'Province_State': 'West Flanders', 'Country_Region': 'Belgium', 'Last_Update': 1616502373000, 'Lat': 51.0536, 'Long_': 3.1458, 'Confirmed': 75804, 'Recovered': 0, 'Deaths': 0, 'Active': 75804, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'West Flanders, Belgium'}","{'x': 3.145800000000065, 'y': 51.053600000000074}"
"{'OBJECTID': 36, 'Province_State': None, 'Country_Region': 'Belize', 'Last_Update': 1616502373000, 'Lat': 17.1899, 'Long_': -88.4976, 'Confirmed': 12407, 'Recovered': 12031, 'Deaths': 316, 'Active': 60, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Belize'}","{'x': -88.49759999999998, 'y': 17.189900000000023}"
"{'OBJECTID': 37, 'Province_State': None, 'Country_Region': 'Benin', 'Last_Update': 1616502373000, 'Lat': 9.3077, 'Long_': 2.3158, 'Confirmed': 6818, 'Recovered': 5552, 'Deaths': 90, 'Active': 1176, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Benin'}","{'x': 2.3158000000000243, 'y': 9.307700000000068}"
"{'OBJECTID': 38, 'Province_State': None, 'Country_Region': 'Bhutan', 'Last_Update': 1616502373000, 'Lat': 27.5142, 'Long_': 90.4336, 'Confirmed': 869, 'Recovered': 867, 'Deaths': 1, 'Active': 1, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Bhutan'}","{'x': 90.43360000000007, 'y': 27.514200000000073}"
"{'OBJECTID': 39, 'Province_State': None, 'Country_Region': 'Bolivia', 'Last_Update': 1616502373000, 'Lat': -16.2902, 'Long_': -63.5887, 'Confirmed': 265207, 'Recovered': 212691, 'Deaths': 12074, 'Active': 40442, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Bolivia'}","{'x': -63.58869999999996, 'y': -16.29019999999997}"
"{'OBJECTID': 40, 'Province_State': None, 'Country_Region': 'Bosnia and Herzegovina', 'Last_Update': 1616502373000, 'Lat': 43.9159, 'Long_': 17.6791, 'Confirmed': 154627, 'Recovered': 125343, 'Deaths': 5938, 'Active': 23346, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Bosnia and Herzegovina'}","{'x': 17.679100000000062, 'y': 43.91590000000008}"
"{'OBJECTID': 41, 'Province_State': None, 'Country_Region': 'Botswana', 'Last_Update': 1616502373000, 'Lat': -22.3285, 'Long_': 24.6849, 'Confirmed': 37559, 'Recovered': 32550, 'Deaths': 485, 'Active': 4524, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Botswana'}","{'x': 24.684900000000027, 'y': -22.328499999999963}"
"{'OBJECTID': 42, 'Province_State': 'Acre', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -9.0238, 'Long_': -70.812, 'Confirmed': 65959, 'Recovered': 52908, 'Deaths': 1190, 'Active': 11861, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Acre, Brazil'}","{'x': -70.81199999999995, 'y': -9.023799999999937}"
"{'OBJECTID': 43, 'Province_State': 'Alagoas', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -9.5713, 'Long_': -36.782, 'Confirmed': 147882, 'Recovered': 139939, 'Deaths': 3358, 'Active': 4585, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Alagoas, Brazil'}","{'x': -36.78199999999998, 'y': -9.571299999999951}"
"{'OBJECTID': 44, 'Province_State': 'Amapa', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': 0.902, 'Long_': -52.003, 'Confirmed': 92462, 'Recovered': 70828, 'Deaths': 1233, 'Active': 20401, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Amapa, Brazil'}","{'x': -52.002999999999986, 'y': 0.9020000000000437}"
"{'OBJECTID': 45, 'Province_State': 'Amazonas', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -3.4168, 'Long_': -65.8561, 'Confirmed': 339510, 'Recovered': 290051, 'Deaths': 11818, 'Active': 37641, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Amazonas, Brazil'}","{'x': -65.85609999999997, 'y': -3.4167999999999665}"
"{'OBJECTID': 46, 'Province_State': 'Bahia', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -12.5797, 'Long_': -41.7007, 'Confirmed': 770430, 'Recovered': 740434, 'Deaths': 14224, 'Active': 15772, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Bahia, Brazil'}","{'x': -41.70069999999998, 'y': -12.579699999999946}"
